Week	Date	Player	Class	Spec	Role	Main/Alt	Item
3	March 3	Massesto	Paladin	Protection	Tank	Main	Chestguard of the Fallen Champion
3	March 3	Pizookies	Paladin	Protection	Tank	Alt	Pauldrons of the Fallen Champion
3	March 3	Pizookies	Paladin	Protection	Tank	Alt	Chestguard of the Fallen Champion
3	March 3	Bake	Priest	Holy	Healer	Main	Teeth of Gruul
3	March 3	Gono	Rogue	Combat	Physical DPS	Main	Chestguard of the Fallen Champion
3	March 3	Bake	Shaman	Restoration	Healer	Alt	Collar of Cho'gall
3	March 3	Barbatos	Shaman	Restoration	Healer	Main	Cowl of Nature's Breath
3	March 3	Jestin	Shaman	Restoration	Healer	Main	Aegis of the Vindicator
3	March 3	Dil	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
3	March 3	Dil	Warlock	Affliction	Caster DPS	Main	Chestguard of the Fallen Hero
3	March 3	Sablewright	Warlock	Affliction	Caster DPS	Main	Magtheridon's Head
3	March 3	Corr	Warrior	Fury	Physical DPS	Main	Bladespire Warbands
3	March 3	Pizookies	Warrior	Fury	Physical DPS	Main	Gauntlets of Martial Perfection
3	March 3	Vspades	Warrior	Fury	Physical DPS	Main	Chestguard of the Fallen Defender
4	March 10	Bored	Druid	Feral (Bear)	Tank	Main	Pauldrons of the Fallen Defender
4	March 10	Bungle	Druid	Restoration	Healer	Main	Chestguard of the Fallen Defender
4	March 10	Capriciousxo	Druid	Balance	Caster DPS	Main	Cowl of Nature's Breath
4	March 10	Lebearjames	Druid	Feral (Bear)	Tank	Main	Leggings of the Fallen Defender
4	March 10	Byung	Hunter	Beast Mastery	Physical DPS	Main	Gronn-Stitched Girdle
4	March 10	Koco	Mage	Frost	Caster DPS	Main	Leggings of the Fallen Hero
4	March 10	Lilark	Mage	Frost	Caster DPS	Main	Eredar Wand of Obliteration
4	March 10	Cash	Paladin	Retribution	Physical DPS	Main	Bladespire Warbands
4	March 10	Kalihiwai	Paladin	Holy	Healer	Main	Hammer of the Naaru
4	March 10	Kalihiwai	Paladin	Holy	Healer	Main	Terror Pit Girdle
4	March 10	Sleepyrat	Paladin	Holy	Healer	Main	Aldori Legacy Defender
4	March 10	Sleepyrat	Paladin	Holy	Healer	Main	Aegis of the Vindicator
4	March 10	Priestlynn	Priest	Shadow	Caster DPS	Main	Magtheridon's Head
4	March 10	Sergo	Priest	Shadow	Caster DPS	Main	Magtheridon's Head
4	March 10	Zephleo	Priest	Shadow	Caster DPS	Main	Chestguard of the Fallen Defender
4	March 10	Barbatos	Shaman	Restoration	Healer	Main	Teeth of Gruul
4	March 10	Bonclay	Shaman	Restoration	Healer	Main	Pauldrons of the Fallen Champion
4	March 10	Dody	Shaman	Enhancement	Physical DPS	Main	Pauldrons of the Fallen Champion
4	March 10	Haanii	Shaman	Elemental	Caster DPS	Main	Windshear Boots
4	March 10	Jestin	Shaman	Restoration	Healer	Main	Leggings of the Fallen Champion
4	March 10	Dil	Warlock	Affliction	Caster DPS	Main	Magtheridon's Head
4	March 10	Doge	Warlock	Affliction	Caster DPS	Main	Leggings of the Fallen Hero
4	March 10	Jalisco	Warlock	Affliction	Caster DPS	Main	Chestguard of the Fallen Hero
4	March 10	Valiks	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
4	March 10	Xenodank	Warlock	Affliction	Caster DPS	Main	Eredar Wand of Obliteration
4	March 10	Mhm	Warrior	Fury	Physical DPS	Main	Chestguard of the Fallen Defender
4	March 10	Pizookies	Warrior	Fury	Physical DPS	Main	Chestguard of the Fallen Defender
4	March 10	Rfx	Warrior	Fury	Physical DPS	Main	Pauldrons of the Fallen Defender
4	March 10	Vspades	Warrior	Fury	Physical DPS	Main	Girdle of the Endless Pit
5	March 17	Bored	Druid	Feral (Bear)	Tank	Main	Leggings of the Fallen Defender
5	March 17	Capriciousxo	Druid	Balance	Caster DPS	Main	Magtheridon's Head
5	March 17	Lebearjames	Druid	Feral (Bear)	Tank	Main	Chestguard of the Fallen Defender
5	March 17	Massesto	Druid	Feral (Bear)	Tank	Alt	Chestguard of the Fallen Defender
5	March 17	Viffer	Druid	Restoration	Healer	Main	Cowl of Nature's Breath
5	March 17	Cash	Hunter	Beast Mastery	Physical DPS	Alt	Gauntlets of the Dragonslayer
5	March 17	Doge	Hunter	Beast Mastery	Physical DPS	Alt	Gronn-Stitched Girdle
5	March 17	Whappintime	Hunter	Beast Mastery	Physical DPS	Main	Magtheridon's Head
5	March 17	Hazi	Mage	Frost	Caster DPS	Main	Pauldrons of the Fallen Hero
5	March 17	Skryt	Mage	Frost	Caster DPS	Main	Magtheridon's Head
5	March 17	Skryt	Mage	Frost	Caster DPS	Main	Karaborian Talisman
5	March 17	Cash	Paladin	Retribution	Physical DPS	Main	Chestguard of the Fallen Champion
5	March 17	Ebtmommy	Paladin	Protection	Tank	Main	Pauldrons of the Fallen Champion
5	March 17	Massesto	Paladin	Protection	Tank	Main	Eye of Magtheridon
5	March 17	Shmoo	Priest	Holy	Healer	Main	Eye of Gruul
5	March 17	Zephleo	Priest	Shadow	Caster DPS	Main	Belt of Divine Inspiration
5	March 17	Bonclay	Shaman	Restoration	Healer	Main	Aegis of the Vindicator
5	March 17	Haanii	Shaman	Elemental	Caster DPS	Main	Leggings of the Fallen Champion
5	March 17	Rfx	Shaman	Enhancement	Physical DPS	Alt	Liar's Tongue Gloves
5	March 17	Skryt	Shaman	Restoration	Healer	Alt	Chestguard of the Fallen Champion
5	March 17	Daladed	Warlock	Affliction	Caster DPS	Alt	Pauldrons of the Fallen Hero
5	March 17	Daladed	Warlock	Affliction	Caster DPS	Alt	Chestguard of the Fallen Hero
5	March 17	Dumpsterbob	Warlock	Affliction	Caster DPS	Main	Leggings of the Fallen Hero
5	March 17	Koco	Warlock	Affliction	Caster DPS	Alt	Leggings of the Fallen Hero
5	March 17	Corr	Warrior	Fury	Physical DPS	Main	Pauldrons of the Fallen Defender
5	March 17	Daladed	Warrior	Fury	Physical DPS	Main	Pauldrons of the Fallen Defender
5	March 17	Daladed	Warrior	Fury	Physical DPS	Main	Bladespire Warbands
5	March 17	Pizookies	Warrior	Fury	Physical DPS	Main	Pauldrons of the Fallen Defender
5	March 17	Rfx	Warrior	Fury	Physical DPS	Main	Chestguard of the Fallen Defender
6	March 24	Creek	Druid	Restoration	Healer	Main	Chestguard of the Fallen Defender
6	March 24	Creek	Druid	Restoration	Healer	Main	Leggings of the Fallen Defender
6	March 24	Cash	Hunter	Beast Mastery	Physical DPS	Alt	Gronn-Stitched Girdle
6	March 24	Chainsaw	Hunter	Beast Mastery	Physical DPS	Main	Magtheridon's Head
6	March 24	Whappintime	Hunter	Beast Mastery	Physical DPS	Main	Pauldrons of the Fallen Hero
6	March 24	Whappintime	Hunter	Beast Mastery	Physical DPS	Main	Leggings of the Fallen Hero
6	March 24	Hazi	Mage	Frost	Caster DPS	Main	Karaborian Talisman
6	March 24	Koco	Mage	Frost	Caster DPS	Main	Pauldrons of the Fallen Hero
6	March 24	Cash	Paladin	Retribution	Physical DPS	Main	Girdle of the Endless Pit
6	March 24	Keefy	Paladin	Retribution	Physical DPS	Main	Chestguard of the Fallen Champion
6	March 24	Massesto	Paladin	Protection	Tank	Main	Pauldrons of the Fallen Champion
6	March 24	Sleepyrat	Paladin	Holy	Healer	Main	Chestguard of the Fallen Champion
6	March 24	Sleepyrat	Paladin	Holy	Healer	Main	Hammer of the Naaru
6	March 24	Sergo	Priest	Shadow	Caster DPS	Main	Eye of Magtheridon
6	March 24	Shmoo	Priest	Holy	Healer	Main	Teeth of Gruul
6	March 24	Zephleo	Priest	Shadow	Caster DPS	Main	Eye of Magtheridon
6	March 24	Barbatos	Shaman	Restoration	Healer	Main	Windshear Boots
6	March 24	Dody	Shaman	Enhancement	Physical DPS	Main	Leggings of the Fallen Champion
6	March 24	Dody	Shaman	Enhancement	Physical DPS	Main	Hammer of the Naaru
6	March 24	Gono	Shaman	Enhancement	Physical DPS	Alt	Cowl of Nature's Breath
6	March 24	Skryt	Shaman	Restoration	Healer	Alt	Pauldrons of the Fallen Champion
6	March 24	Doge	Warlock	Affliction	Caster DPS	Main	Magtheridon's Head
6	March 24	Dumpsterbob	Warlock	Affliction	Caster DPS	Main	Chestguard of the Fallen Hero
6	March 24	Sablewright	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
6	March 24	Valiks	Warlock	Affliction	Caster DPS	Main	Magtheridon's Head
6	March 24	Vspades	Warlock	Affliction	Caster DPS	Alt	Chestguard of the Fallen Hero
6	March 24	Daladed	Warrior	Fury	Physical DPS	Main	Dragonspine Trophy
6	March 24	Mhm	Warrior	Fury	Physical DPS	Main	Cloak of the Pit Stalker
6	March 24	Pizookies	Warrior	Fury	Physical DPS	Main	Girdle of the Endless Pit
6	March 24	Rfx	Warrior	Fury	Physical DPS	Main	Bladespire Warbands
7	March 31	Bungle	Druid	Restoration	Healer	Main	Liar's Tongue Gloves
7	March 31	Creek	Druid	Restoration	Healer	Main	Teeth of Gruul
7	March 31	Viffer	Druid	Restoration	Healer	Main	Teeth of Gruul
7	March 31	Viffer	Druid	Restoration	Healer	Main	Crystalheart Pulse-Staff
7	March 31	Byung	Hunter	Beast Mastery	Physical DPS	Main	Magtheridon's Head
7	March 31	Glzy	Hunter	Beast Mastery	Physical DPS	Main	Gronn-Stitched Girdle
7	March 31	Veile	Hunter	Beast Mastery	Physical DPS	Main	Magtheridon's Head
7	March 31	Hazi	Mage	Frost	Caster DPS	Main	Brute Cloak of the Ogre-Magi
7	March 31	Hazi	Mage	Frost	Caster DPS	Main	Leggings of the Fallen Hero
7	March 31	Lilark	Mage	Frost	Caster DPS	Main	Brute Cloak of the Ogre-Magi
7	March 31	Kalihiwai	Paladin	Holy	Healer	Main	Aldori Legacy Defender
